3084381	capstone associate jonathon quiles was working in a trailer at door 314 when he dropped a box from above his head onto his left foot injuring his middle toe 	1055	 taking unsafe position posture	41
3084407	fire outside lumberinident only	1018	 fire	16
3084472	while setting up the social committee soup lunch  dana was moving a cauldron with boiling water in it   the water spilled over onto her left and burnt scolded her forefinger and middle finger and resulted in swelling of fingers 	1055	 taking unsafe position posture	41
3084631	customer states that a cpvc fitting purchased 3 years ago split  causing a leak flooding his kitchen bedroom and closet 	1044	 possible product defect	34
3084644	customer bought a 3 7l of white primer sealer brand 123  lid was not secure and when he placed into the trunk of car it opened during drive home and spilled on carpet in trunk  product was bought off shelf and not handled by any associates	1044	 possible product defect	34
3084653	delivery truck tore down the cable wire hanging over the driveway when they pulled in to drop the delivery customer arrived after incident  and delivery driver told him that they were responsible 	1056	 third party error  non hd 	42
3084670	customer came in to report tools stolen out of vanno contact info	1004	 assault holdup  robbery  shoplifter	4
3084689	customer is stating that he picked up flooring at 1912 store and we loaded in his car   while driving home the flooring went through the windshield if his car    customer is stating joe was on the cross street of lincoln ave  heading toward skokie boulevard 	1026	 improper loading unloading vehicle	21
3084698	customer got sick from his own accord and had us call the ambulance for himcustomer became ill upon his own accord and had us call the ambulance for him	1017	 fatigue  ill  emotional	15
3084735	incident only  customer put car in drive instead of reverse and hit another customers vehicle	1056	 third party error  non hd 	42
3084764	gilbert mercado car was broken in to and backpack stolen	1004	 assault holdup  robbery  shoplifter	4
3084787	female customer came in the store and said someone hit her car	1056	 third party error  non hd 	42
3084805	customer complained of feeling dizzy  he requested assistance to his car associate helped him to car and said he was fine and thanked her na	1021	 heart attack fainting seizure stroke	18
3084808	associate ray was loading a pallet of 90lbs quikrete on to a customer truck  while placing the pallet down a piece from the bottom of the pallet swung down stabbing the trunk bed  making a dent on the trunk bed door associate driving machine   ray de jesus associate spotting   matthew laskey investing manager   markus taylor	1026	 improper loading unloading vehicle	21
3084815	while scanning customer lumber  the pile of boards slipped off the cart and struck karan on top of the left foot	1062	 improper lifting procedure policy	48
3084857	while loading lumber an associate pushed a piece of ply wood into a customers taillightnot at this time	1026	 improper loading unloading vehicle	21
3084861	customer was walking around end of area rug table  approx 5 empty boxes laying in the floor  customer didn t sea the boxes and fell over themcustomer was looking at rugs and fell over boxes at the end of area rug table  boxes was empty laying in the floor	1020	 foreign object in path	17
3084885	unknown name customer during a returns transaction mentioned his delta shower door broke and glass was everywhere and his son may have to go to hospital and if so he would be back customer mentioned he was working with delta and i also pulled up delta website for claims	1009	 child unattended unsupervised	8
3084931	customer stated she slipped on a banana peel  she fell on her left knee and did the splits which twisted her right leg and low back the item was originally thought to be card board  turned out to be a banana peel  shari stated at this time she did not need doctor  will see how she feels by morning 	1020	 foreign object in path	17
3084959	la porte de l entr e principale s est referm  sur la cliente qui est tomb e par terre  elle ne s est pas bless e mais voulait qu on entre l incident dans le syst me au cas ou	1010	 defective equipment tools fixtures	9
3084969	a customer  maegan stoner  came in today to get a color match  she came in with a dressor drawer that is antique  she asked mike douglas for a color match  he then took out his knife and cut into her drawer  the customer was upset and frustrated i spoke with mike  he let her know that he needed a sample and he thought that it was fine to cut it 	1011	 errors of others  hd emp 	10
3085095	customer jeff korbel called in today to inform me that he fell in aisle 8  he stated that he did the splits which caused him some discomfort  he stated he stated that he didn t think it was a big deal but wanted to inform us	1024	 idiopathic  trip over own feet etc  	20
3085123	two associates were hand loading tile into customers vehicle  customer stated that a box slipped and damaged her vehicle 	1026	 improper loading unloading vehicle	21
3085125	customer fell backward over the op platform  	1055	 taking unsafe position posture	41
3085134	customer was picking up ceramic tile when first box when about 5 boxes of tile fell on right chin were there was a small briuse 	1028	 improperly unsafely stacked products	22
3085173	customer was leaning over to put a mailbox on a pallet of shingles while he went to use the restroom  and he bumped his head on some cobra ridge vent  this caused a small cut to his forehead   first aid was administered 	1051	 rough sharp edges	39
3085209	customer states laundry moved and covered laundry room door  she called 911 and the door was destroyed in order to get into the room  customer was very vague about what happened and couldn t describe damage customer was very vague about what happened and couldn t describe damage	1044	 possible product defect	34
3085217	i was walking and overheard associates say someone allegedly fell  i walked to a customer sitting on a pallet in the lumber aisle    customer   customer claims she tripped backwards on a pallet allegedly fell and hit her head  no sign of bloodcustomer s significant other was adamant about them not filling out the incident statement or witness statement and claimed they were going to fill it out and bring it back 	1048	 protruding nail object	37
3085246	john doe customer refused to give information other than paint spilled in carcustomer refused to give any information	1035	 insecure packaging	28
3085338	customer was driving on epj near a tight area when his arm brushed on stack of pallets causing a nail to puncture his arm 	1048	 protruding nail object	37
3085351	customer went to grab a 4x4x12 that was up front  when he did one of them from the top of the pile fell and smashed his rt middle finger	1028	 improperly unsafely stacked products	22
3085364	associate was walking backwards when she tripped over another associates foot and fell twiting her knee   associate did not need first aid or medical treatment and continued with her work schedule  not expected to miss time 	1024	 idiopathic  trip over own feet etc  	20
3085421	as customer was leaving store she informed me  brian  that while putting a wire shelf on her cart it had slipped and hit her foot customer stated sue didnt think it was anything serious but knew reporting to a manager was appropriate 	1024	 idiopathic  trip over own feet etc  	20
3085444	customer states that while he was walking towards the registers he slipped on an unknown substance io the floor    and that he didn t fall on the floor because he held on to a cart 	1052	 slippery surface	40
3085450	customer witnessed another customer place cart in the cart corral and the wind blew the cart back out into their truck	1059	 wind storm driven	45
3085484	customer was looking at plywood and she backed into the large forklift and tripped hurting her right hand	1014	 failure to keep a clear lookout	13
3085489	customer was leaving the store  shopping bag broke open and cans of paint fell through the bag  quart of paint fell on her foot  upc 020066323394  customer claims it hurt her foot and ruined her shoes and pants customer returned all product and said she would have to replace her clothes  also said she thinks we should clean the bathroom because she made a mess in there cleaning up herself	1079	 insufficient improper bagging	58
3085529	while 2 customers unloaded a sewer snake they broke their window to vehicle  customer claims it was due to faulty wheel  the tire is damaged and looks like it was dropped customer also said he had no problems with tool at all and did not notice tire tilli feel there was no negligence on our part	1044	 possible product defect	34
3085554	customer was getting a shelf  cloestmaid t60  from the top shelf and didn t realize the weight of the product  it slipped from her grip and hit her on the left side of her head  she received a small laceration 	1005	 attempted to lift move too heavy object	5
3085563	customer alleged after purchasing a can of spray she held the can up to put it in her vehicle and the spray went off because he seal was broken  the customers shirt was covers with the spray content	1044	 possible product defect	34
3085614	paint lid was not secured and spilled when ringing at self checkout	1035	 insecure packaging	28
3085621	customer was walking out contractors entrance and slipped on asphalt	1052	 slippery surface	40
3085756	customer rented carpet cleaner from tool rental and the carpet cleaned left black marks on the customers carpet we refunded the contract cost   50 00 	1044	 possible product defect	34
3085775	associate was closing smart product cage after vlooking for a t9 thermostat for a customer when the lock cut her fourth right finger 	1051	 rough sharp edges	39
3085784	customer had driveway repaved in 2018  appliance delivery truck had big oil leak which left large oil stains on driveway  no injuries	1056	 third party error  non hd 	42
3085811	customer approached cindy kosch and heather craddick and wanted to let us know that the associate that loaded her truck should really not be doing that job  that he dented her dads truck the vehicle was linda schmitt s fathers truck that she was using 	1026	 improper loading unloading vehicle	21
3085816	a water loss occurred plaintiff s property originated from the subject toilet 	1044	 possible product defect	34
3085817	martin ramos was apprehended appeared to be very intoxicated richmond pd was called and martin then asked for an ambulancemartin ramos walked out in cuffs the richmond pd called the ambulance for him	1082	 alleged character defamation	60
3085824	customer alleges a surge protector  purchased from home depot  failed to protect his media equipment from getting damaged in an electrical storm   customer is not sure about the originally purchase date and does not have a receipt this claim was entered at the customers request  as a way of contacting the manufacture  to pursue some sort of compensation and has nothing to do with the store   this is an incident only 	1044	 possible product defect	34
3085892	customer was having dishwasher installed by us and installer forgot to turn off water before disconnecting the dishwasher  this caused significant water damage to floor  surrounding cabinets as well as downstairs 	1056	 third party error  non hd 	42
3085898	customer alleges that he grabbed an acid container and did not notice that it was leaking and a drop falls on his face and hand cliente usa espejuelos	1044	 possible product defect	34
3085947	a minor  who was accompanied by his parents  climbed under the racking in flooring and scraped his shin  his was given a bandaid and antiseptic wipe  and is expected to be fine and not require medical assistance injured party is not lindsey sawyer  but her son  minor s name was not given to manager  parents did not feel there was any damage done and just wanted a band aid for scrape 	1009	 child unattended unsupervised	8
3085951	customer was trying to get a shelf sku 408 711 and slid down out of his hands and felt over him braking his glasesn a	1024	 idiopathic  trip over own feet etc  	20
3085960	shopping cart dented customers car	1060	 rolling buggy cart	46
3085961	the customer was handling a 2x4x8 when he received a large splinter in his left hand 	1051	 rough sharp edges	39
3086003	sdo mark schaeffer was getting a receipt for gas when someone jumped into car and drove off 	1004	 assault holdup  robbery  shoplifter	4
3086006	customer s front door was damaged while an associate was unloading a french door fridge from the customer s home 	1011	 errors of others  hd emp 	10
3086051	customer male cut 2 fingers in lumber   first aid was provided   associate called mod and the customer left by the time i got to the front to fill out all of the paperwork   incident only	1051	 rough sharp edges	39
3086062	driver alledges terry the receiving associate damaged his truck while unloading rolls of carpet  but terry stated that she was not even close to where the driver claims the damage terry did not hit the truck	1026	 improper loading unloading vehicle	21
3086073	customer was looking at desert plants and fell backwards on map pallet in front of plants	1020	 foreign object in path	17
3086079	customer claims there is no water pressure in her sink faucet since the install of her dishwasher 	1056	 third party error  non hd 	42
3086105	claimant is alleging water damage 	1044	 possible product defect	34
3086111	2 customers were looking at flooring tiles  while one custom lift the box of flooring tiles up she dropped it onto the other customers foot  customer states foot hurt  can t put on shoe and will not be able to walk or drive 	1056	 third party error  non hd 	42
3086118	customer bob grant  was feeling weak while in the restroom and couldn t move  wife of bob  pam grant  called 911 requesting ambulance  bob had low blood pressure due to missing medication 	1017	 fatigue  ill  emotional	15
3086133	customer truck was broken into and tools were taken no other information just tools were taken 	1004	 assault holdup  robbery  shoplifter	4
3086135	forklift used to load  van e 350 super duty 2009 red gets dented	1026	 improper loading unloading vehicle	21
3086139	customer was pulling on the shower liner and the pole holding it fell and struck the right side of his head and shoulder  he states he is dizzy and has pain in neck customer was takenbstated he had a stuffy head and a dull headache paramedics stated he would have to go to get checked he was apprehensive but finally left with them	1069	 alleged improperly installed fixture display	53
3086158	damage to passenger side wheel well in truck bed scrape and dentjesus flores was spotting	1026	 improper loading unloading vehicle	21
3086191	minor customer was with parents at aisle  12 inside shopping cart when sustained injuries	1009	 child unattended unsupervised	8
3086202	customer dropped a quart of behr interior eggshell ultra pure white paint  he placed it in the child safety seat and it fell through the leg hole  before landing on the concrete and splashing on the customers shoes and pants leg 	1035	 insecure packaging	28
3086204	associate hit tailgate with reach truck forks	1026	 improper loading unloading vehicle	21
3086221	customer stated that while she was shopping in asile 20 she slipped and fell on a wet surface	1052	 slippery surface	40
3086259	delivering refrigerator up the steps gouged the walls and flooring on the landing delivery service also took photos	1056	 third party error  non hd 	42
3086269	there was a shooting in our parking lot unknown at the time  detective reported to us stating one individual was deceased incident onlythis is incident only	1004	 assault holdup  robbery  shoplifter	4
3086278	a container of paint thinner was open and spilled on customers left pant leg customer indicates retail value of jeans is  75	1044	 possible product defect	34
3086284	dropped a case of tile on her right foot   sku 1002808737	1005	 attempted to lift move too heavy object	5
3086294	customer hit a flat cart while driving in the parking lot  damage done to passenger front fender 	1014	 failure to keep a clear lookout	13
3086295	customer hit a flat cart while driving in the parking lot  damage done to passenger front fender 	1014	 failure to keep a clear lookout	13
